Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Histidine metabolism,2/24,0.4430529957669485,0.694030993369035,0,0,1.3771588153156464,1.121098012283631,ALDH1A3;HDC
KEGG_2019_Mouse,Vitamin digestion and absorption,2/24,0.4430529957669485,0.694030993369035,0,0,1.3771588153156464,1.121098012283631,ABCC1;APOA4
KEGG_2019_Mouse,Prolactin signaling pathway,5/72,0.4632938913546288,0.7188883278760186,0,0,1.1305304917874162,0.8698230060696879,SOCS3;SOCS1;FOS;TNFRSF11A;SOCS7
KEGG_2019_Mouse,Asthma,2/25,0.464226779993739,0.7188883278760186,0,0,1.3172120487856314,1.010804943095848,CCL11;FCER1G
KEGG_2019_Mouse,mTOR signaling pathway,10/154,0.4858872353626263,0.741905261713846,0,0,1.0519505469668204,0.7592755066766186,PRKCG;PRKCB;WNT7B;SESN2;DDIT4;FZD9;SLC3A2;DEPDC5;SGK1;IGF1R
KEGG_2019_Mouse,Ubiquitin mediated proteolysis,9/138,0.4862738885145145,0.741905261713846,0,0,1.0568349404424278,0.7619602976890886,SOCS3;SOCS1;UBE2U;CDC16;MDM2;CBLB;UBE2D2A;MID1;BIRC3
KEGG_2019_Mouse,GABAergic synapse,6/90,0.4873030870297586,0.741905261713846,0,0,1.081971961534005,0.7777960957243714,PRKCG;PRKCB;GABRA5;ADCY3;SLC38A2;GPHN
KEGG_2019_Mouse,Vasopressin-regulated water reabsorption,3/43,0.502892213290103,0.7523226516677667,0,0,1.1359830097087378,0.7808513418196656,ARHGDIB;ADCY3;AQP4
KEGG_2019_Mouse,Maturity onset diabetes of the young,2/27,0.505102084317187,0.7523226516677667,0,0,1.2117057396928053,0.8275886260063003,PDX1;HES1
KEGG_2019_Mouse,Ubiquinone and other terpenoid-quinone biosynthesis,1/11,0.5052252396887618,0.7523226516677667,0,0,1.5146203554119548,1.034108456190982,TAT
KEGG_2019_Mouse,Lysosome,8/124,0.5052498989060278,0.7523226516677667,0,0,1.044567074707975,0.7131281592949298,NAPSA;CTSL;CTSJ;AP4E1;LAPTM5;ARSG;LITAF;LGMN
KEGG_2019_Mouse,Cardiac muscle contraction,5/78,0.534676902952157,0.7917892934428118,0,0,1.0372771474878444,0.6494315817021096,ACTC1;FXYD2;TNNI3;COX6B2;SLC8A1
KEGG_2019_Mouse,Fatty acid elongation,2/29,0.5438939315759942,0.8010611709624698,0,0,1.1218299949100272,0.6831956222253699,ELOVL3;ACOT2
KEGG_2019_Mouse,cAMP signaling pathway,13/211,0.549095676404566,0.8043509638142561,0,0,0.9941132367722906,0.5959535666956733,VAV3;JUN;HTR1F;ROCK2;ADCY3;FOS;NFKBIA;LIPE;FXYD2;PDE4B;GHRL;TNNI3;SOX9
KEGG_2019_Mouse,Cholinergic synapse,7/113,0.5555332328983802,0.8094059468573174,0,0,0.9999463979416808,0.5877953377633968,PRKCG;CHRM3;PRKCB;ADCY3;KCNQ5;FOS;PIK3R5
KEGG_2019_Mouse,Phosphatidylinositol signaling system,6/98,0.5715322828445305,0.8232036540499318,0,0,0.987464297048556,0.5524214071019082,DGKG;PRKCG;CDS1;PRKCB;PIP4K2A;DGKH
KEGG_2019_Mouse,ABC transporters,3/48,0.578172620976857,0.8232036540499318,0,0,1.0094929881337649,0.5530838476329726,ABCC1;ABCA4;DEFB1
KEGG_2019_Mouse,Tryptophan metabolism,3/48,0.578172620976857,0.8232036540499318,0,0,1.0094929881337649,0.5530838476329726,DDC;LAO1;EHHADH
